Extrakorporale Verfahren;Nierenverfahren_VO_Filter Filter  für extrakorporale Verfahren;100
Extrakorporale Verfahren;Nierenverfahren_VO_Zugang VO Gefäßzugang extracorporale Verfahren;55
Extrakorporale Verfahren;Nierenverfahren_VO_Bolus Medikament;47
Extrakorporale Verfahren;Nierenverfahren_ES_Multi_CitratBlut Citratrate;46
Extrakorporale Verfahren;Nierenersatzverfahren_Mess_Bilanz;46
Substituatfluss;NEV_CRRT_MS_Multi_Citratfluss;55
Substituatfluss;NEV_CRRT_ES_Multi_Blutfluss;52
Substituatfluss;NEV_CRRT_ES_Multi_Substituat;47
Substituatfluss;Betreuer_Status;47
Substituatfluss;Hausarzt_Strasse;45
Parameter von extrakorporalen Verfahren;Nierenverfahren_VO_Filter Filter  für extrakorporale Verfahren;63
Parameter von extrakorporalen Verfahren;Nierenverfahren_VO_Zugang VO Gefäßzugang extracorporale Verfahren;63
Parameter von extrakorporalen Verfahren;Nierenverfahren_VO_SpülloesungAntikoagulanz Spüllösung zum Vorbereiten des extrakorporalen Verfahrens;56
Parameter von extrakorporalen Verfahren;Nierenverfahren_VO_Antikoagulanz Antikoagulation Medikament;51
Parameter von extrakorporalen Verfahren;Nierenverfahren_VO_Bolus Medikament;51
Arterieller Druck;Nierenverfahren_MS_Multi_artDruck arterieller Druck;100
Arterieller Druck;ABP_1 arterieller Blutdruck 1;79
Arterieller Druck;ABP_2 zweiter arterieller Blutdruck;79
Arterieller Druck;PAP Pulmunalarterieller Druck;74
Arterieller Druck;ICP Intrakranialer Druck;59
Monitoring und Vitaldaten;ART 2. artereille Messung, ab 201712 im Rahmen Umstellung Philips Monitoring;57
Monitoring und Vitaldaten;Beatmung_MS_G5_ExpMinVol Exspiratorisches Minutenvolumen, Monitoring-Parameter;57
Monitoring und Vitaldaten;Beatmung_MS_G5_Rinsp Inspiratorische Flow-Resistance, ein Monitoring-Parameter;57
Monitoring und Vitaldaten;Beatmung_MS_G5_ftotal Gesamtatemfrequenz, ein Monitoring Parameter;57
Monitoring und Vitaldaten;P_Temperatur_generic Anlage für Philips Monitoring;57
Parameter von Beatmung;Beatmung_ES_C2_ProzentVol;60
Parameter von Beatmung;Beatmung_MS_G5_ExpMinVol Exspiratorisches Minutenvolumen, Monitoring-Parameter;58
Parameter von Beatmung;Beatmung_MS_G5_Rinsp Inspiratorische Flow-Resistance, ein Monitoring-Parameter;58
Parameter von Beatmung;Beatmung_MS_G5_ftotal Gesamtatemfrequenz, ein Monitoring Parameter;58
Parameter von Beatmung;Beatmung_MS_G5_Pplateau Plateau-Atemwegsdruck, ein Monitoring-Parameter;58
Eingestellte und gemessene Parameter (Extrakorporale Verfahren);Nierenverfahren_VO_Filter Filter  für extrakorporale Verfahren;66
Eingestellte und gemessene Parameter (Extrakorporale Verfahren);Nierenverfahren_VO_Zugang VO Gefäßzugang extracorporale Verfahren;56
Eingestellte und gemessene Parameter (Extrakorporale Verfahren);Beatmung_ES_Evita4_frequenz eingestellte Atemfrequenz;51
Eingestellte und gemessene Parameter (Extrakorporale Verfahren);Beatmung_ES_Evita4_Tinsp eingestellte absolute Inspirationszeit;50
Eingestellte und gemessene Parameter (Extrakorporale Verfahren);Beatmung_ES_Evita4_fApnoe eingestellte Atemfrequenz in der Apnoeventilation;50
Beatmung;P_Beatmung_ES_NO;67
Beatmung;P_Beatmung_MS_NO2;64
Beatmung;Beatmung_MS_C2_TE;64
Beatmung;Beatmung_ES_C2_Ti;64
Beatmung;Beatmung_MS_G5_VTi;62
Venoeser Druck;ZVD Zentralvenöser Druck;65
Venoeser Druck;PAP Pulmunalarterieller Druck;53
